iter	RMSE
128	0.3281264806
129	0.3270808703
130	0.3260876073
131	0.325415953
132	0.3246882232
133	0.3239208527
134	0.323520718
135	0.322789269
136	0.3218447832
137	0.3207978034
138	0.3202105674
139	0.319516081
140	0.3186001698
141	0.3177994099
142	0.3172444599
143	0.3167951143
144	0.3161075143
145	0.3156591752
146	0.3151008973
147	0.3145037553
148	0.3140016745
149	0.313108795
150	0.3121844996
151	0.3115376032
152	0.3108195587
153	0.3100865198
154	0.3095717918
155	0.3093179386
156	0.3086370741
157	0.3082354158
158	0.3073120215
159	0.3069795077
160	0.3064451272
161	0.3059263441
162	0.3052057931
163	0.3046258534
164	0.3044096125
165	0.3038315367
166	0.3032126283
167	0.3023877283
168	0.3019645189
169	0.3011722249
170	0.3003093534
171	0.299810292
172	0.2990687159
173	0.2985809787
174	0.2976009166
175	0.2969148452
176	0.296251942
177	0.2957148003
178	0.2952511801
179	0.2948549555
180	0.2939390094
181	0.2933823899
182	0.2930978299
183	0.2926747495
184	0.2921652431
185	0.2914719389
186	0.2911119754
187	0.2905176534
188	0.2901329146
189	0.2897916475
190	0.2891810746
191	0.2888393341
192	0.2880542977
193	0.2875385849
194	0.2871621626
195	0.2868301571
196	0.2866514826
197	0.2862322303
198	0.2857684671
199	0.2853807156
200	0.2844642401
201	0.2837098613
202	0.28309631
203	0.2826227275
204	0.2821310126
205	0.2818879344
206	0.2815975077
207	0.2809192435
208	0.280559915
209	0.2801790909
210	0.279733481
211	0.2793091335
212	0.279052398
213	0.2785423153
214	0.2780152395
215	0.2776943497
216	0.2773845933
217	0.2769749606
218	0.2765716817
219	0.2758564987
220	0.275561022
221	0.2751231351
222	0.2746023672
223	0.2743403207
224	0.2737748195
225	0.2732182009
226	0.2728608734
227	0.2723064036
228	0.2720515905
229	0.2718455404
230	0.2714826239
231	0.2710653789
232	0.2708569962
233	0.2704738524
234	0.2698388151
235	0.2693903736
236	0.2689213942
237	0.2683288925
238	0.2680143809
239	0.2676516033
240	0.2674457382
241	0.2670896138
242	0.2666726228
243	0.2663068298
244	0.2659478706
245	0.2654676051
246	0.2650518372
247	0.2646517883
248	0.2642305692
249	0.2639507709
250	0.2632660284
251	0.2630370829
252	0.2626884114
253	0.2623403075
254	0.2619171815
255	0.2615653601
256	0.260958609
257	0.2603341288
258	0.2600624479
259	0.2593503206
260	0.2589883202
261	0.2586081902
262	0.2580412905
263	0.2577396542
264	0.2574592028
265	0.2572913183
266	0.2570002512
267	0.2566399477
268	0.2562725781
269	0.2559451695
270	0.2557104626
271	0.2554885059
272	0.2548317033
273	0.2543982811
274	0.2539882571
275	0.2536069488
276	0.2532077185
277	0.2528915311
278	0.2525499817
279	0.2521904064
280	0.2518039422
281	0.2514560799
282	0.2508664652
283	0.2505538554
284	0.2503074009
285	0.2500906843
286	0.2498529343
287	0.2494725709
288	0.2491945703
289	0.2487787073
290	0.248379689
291	0.2478474814
292	0.2474436664
293	0.2468306053
294	0.2465811446
295	0.2460125666
296	0.2456036791
297	0.2453249076
298	0.245066511
299	0.2444170561
300	0.2439816717
301	0.2436810062
302	0.2431983104
303	0.2427881551
304	0.2427178478
305	0.2423313124
306	0.2418093576
307	0.2415782625
308	0.240974039
309	0.2407059936
310	0.2403467768
311	0.2400565537
312	0.2396466186
313	0.2392350194
314	0.2389409855
315	0.2385608227
316	0.2381611968
317	0.2374825642
318	0.2370821179
319	0.2367670591
320	0.2365618088
321	0.2363805139
322	0.2359600619
323	0.2357651517
324	0.235423742
325	0.2350038261
326	0.2348736489
327	0.234531201
328	0.2340649554
329	0.2337207172
330	0.2334310269
331	0.2331037116
332	0.2327791596
333	0.2325085496
334	0.2321119598
335	0.2314639899
336	0.2311657793
337	0.2309037247
338	0.2306343301
339	0.2303460724
340	0.2301284176
341	0.2298143001
342	0.2295697692
343	0.22922141
344	0.228858503
345	0.228582186
346	0.2282111183
347	0.2279902816
348	0.2276540286
349	0.2274941943
350	0.2271948145
351	0.2269244792
352	0.2266297717
353	0.2264492309
354	0.2262652505
355	0.2259975816
356	0.225742099
357	0.2253413895
358	0.2250793515
359	0.2249617398
360	0.2245967775
361	0.2244068896
362	0.2239913386
363	0.223686752
364	0.2235302456
365	0.2232789236
366	0.2230663222
367	0.2226270265
368	0.2224293429
369	0.2223626318
370	0.2221050025
371	0.2220772301
372	0.2219684904
373	0.221640049
374	0.2214992763
375	0.2211220813
376	0.2209977483
377	0.2205086287
378	0.2202441182
379	0.2199326265
380	0.2196981418
381	0.2190805313
382	0.2188235127
383	0.2184872123
384	0.2182818154
385	0.2180439641
386	0.2176189097
387	0.2172549157
388	0.2169289896
389	0.216805174
390	0.2166531726
391	0.216484835
392	0.216294471
393	0.2160200851
394	0.2156844046
395	0.2154682279
396	0.2150525033
397	0.2147776196
398	0.214523992
399	0.2142468963
400	0.2139756457
401	0.2137650894
402	0.2135476973
403	0.21313622
404	0.2126864866
405	0.2122349291
406	0.2120474978
407	0.2117705016
408	0.21161584
409	0.2115087549
410	0.2111809675
411	0.2109753264
412	0.2108398092
413	0.2107441008
414	0.2107092824
415	0.2102494358
416	0.2100005785
417	0.2097570559
418	0.2095860075
419	0.2092470739
420	0.2089229921
421	0.2086360992
422	0.2083491986
423	0.2080367254
424	0.2078476093
425	0.2073964815
426	0.2070492761
427	0.206767729
428	0.2065357797
429	0.2063682159
430	0.2061209425
431	0.2057446678
432	0.2054016786
433	0.2053241085
434	0.2050132547
435	0.2046825842
436	0.2044108935
437	0.2041428548
438	0.2039116594
439	0.2036115775
440	0.2034742245
441	0.2032912648
442	0.202879238
443	0.2027338174
444	0.2023942187
445	0.2021384986
446	0.2017662255
447	0.2015296792
448	0.2014023983
449	0.2010831138
450	0.2008340031
451	0.2004574294
452	0.2002213919
453	0.1999048865
454	0.1997389724
455	0.1994229394
456	0.199183123
457	0.1989376605
458	0.1987031769
459	0.1985804547
460	0.1985599557
461	0.1984268248
462	0.1981210263
463	0.1978745336
464	0.1978574387
465	0.1977176699
466	0.197543315
467	0.1973529394
468	0.1972107719
469	0.1970110461
470	0.1968573706
471	0.1964926082
472	0.1963870085
473	0.1961631836
474	0.1960235998
475	0.1958719998
476	0.195592339
477	0.1953729601
478	0.1951795225
479	0.194815214
480	0.194572406
481	0.1943623522
482	0.1942002127
483	0.1939838193
484	0.193802431
485	0.1934874951
486	0.1932513326
487	0.1929890246
488	0.192815692
489	0.1926527726
490	0.1924358811
491	0.1923458668
492	0.1921738491
493	0.1919335908
494	0.1917524478
495	0.1915410492
496	0.1913512348
497	0.1910870158
498	0.1909365485
499	0.1907115382
