,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-05-03T13:00:00Z,20.3,1017.5,36.4,20.7,16.9,0.0
1,2024-05-03T14:00:00Z,20.5,1017.1,36.6,20.7,15.1,0.0
2,2024-05-03T15:00:00Z,20.7,1017.0,37.5,20.6,13.8,0.0
3,2024-05-03T16:00:00Z,20.6,1016.6,39.4,20.2,12.8,0.0
4,2024-05-03T17:00:00Z,20.2,1016.2,42.8,18.9,11.9,0.0
5,2024-05-03T18:00:00Z,18.9,1016.1,56.5,16.9,11.1,0.0
6,2024-05-03T19:00:00Z,16.9,1016.2,58.3,15.1,10.5,0.0
7,2024-05-03T20:00:00Z,15.1,1016.6,60.4,13.8,9.6,0.0
8,2024-05-03T21:00:00Z,13.8,1016.8,68.0,12.8,8.9,0.0
9,2024-05-03T22:00:00Z,12.8,1016.8,74.8,11.9,8.8,0.0
10,2024-05-03T23:00:00Z,11.9,1016.9,77.9,11.1,8.8,0.0
11,2024-05-04T00:00:00Z,11.1,1016.8,77.2,12.4,8.8,0.0
12,2024-05-04T01:00:00Z,10.5,1016.6,74.4,14.2,8.8,0.0
13,2024-05-04T02:00:00Z,9.6,1016.5,74.0,16.1,8.8,0.0
14,2024-05-04T03:00:00Z,8.9,1016.5,76.6,17.7,8.8,0.0
15,2024-05-04T04:00:00Z,8.8,1016.1,79.5,19.1,10.3,0.0
16,2024-05-04T05:00:00Z,10.3,1015.9,75.8,20.5,12.4,0.0
17,2024-05-04T06:00:00Z,12.4,1015.8,65.8,21.4,14.2,0.0
18,2024-05-04T07:00:00Z,14.2,1015.5,62.2,21.9,16.1,0.0
19,2024-05-04T08:00:00Z,16.1,1015.4,59.2,21.9,17.7,0.0
20,2024-05-04T09:00:00Z,17.7,1015.3,57.1,21.9,19.1,0.0
21,2024-05-04T10:00:00Z,19.1,1014.9,54.8,21.9,20.0,0.0
22,2024-05-04T11:00:00Z,20.5,1014.5,52.1,21.9,19.4,0.0
23,2024-05-04T12:00:00Z,21.4,1013.9,49.9,21.9,17.9,0.0
24,2024-05-04T13:00:00Z,21.9,1013.4,49.4,21.3,16.4,0.0
25,2024-05-04T14:00:00Z,21.3,1013.1,48.8,20.9,15.6,0.0
26,2024-05-04T15:00:00Z,20.9,1012.5,51.5,20.0,14.3,0.0
27,2024-05-04T16:00:00Z,20.0,1012.1,59.0,19.4,13.3,0.0
28,2024-05-04T17:00:00Z,19.4,1011.4,60.5,17.9,13.1,11.4
29,2024-05-04T18:00:00Z,17.9,1011.8,79.1,16.4,12.6,10.5
30,2024-05-04T19:00:00Z,16.4,1011.7,96.1,15.6,12.3,9.8
31,2024-05-04T20:00:00Z,15.6,1011.5,97.7,14.3,11.5,8.4
32,2024-05-04T21:00:00Z,14.3,1011.3,96.4,13.3,11.3,3.0
33,2024-05-04T22:00:00Z,13.3,1011.6,94.9,13.1,10.9,1.3
34,2024-05-04T23:00:00Z,13.1,1011.5,91.4,12.6,10.9,1.0
35,2024-05-05T00:00:00Z,12.6,1011.1,94.8,12.3,10.9,0.5
36,2024-05-05T01:00:00Z,12.3,1010.6,95.1,11.5,10.9,0.0
37,2024-05-05T02:00:00Z,11.5,1010.3,94.0,11.3,10.9,0.0
38,2024-05-05T03:00:00Z,11.3,1010.1,94.4,11.5,10.9,0.0
39,2024-05-05T04:00:00Z,10.9,1009.9,94.3,11.9,10.9,0.0
40,2024-05-05T05:00:00Z,10.9,1010.0,94.9,12.5,11.0,0.0
41,2024-05-05T06:00:00Z,11.0,1009.9,96.4,13.0,11.0,0.0
42,2024-05-05T07:00:00Z,11.0,1009.7,98.5,13.5,11.2,0.0
43,2024-05-05T08:00:00Z,11.2,1009.5,98.9,13.5,11.5,0.6
44,2024-05-05T09:00:00Z,11.5,1009.4,98.5,13.7,11.9,0.6
45,2024-05-05T10:00:00Z,11.9,1009.2,99.2,13.7,12.5,0.5
46,2024-05-05T11:00:00Z,12.5,1009.1,99.6,13.7,13.0,0.0
47,2024-05-05T12:00:00Z,13.0,1009.1,98.7,13.7,12.7,0.6
48,2024-05-05T13:00:00Z,13.5,1008.9,98.6,,,
49,2024-05-05T14:00:00Z,13.4,1008.3,99.7,,,
50,2024-05-05T15:00:00Z,13.7,1008.1,99.7,,,
