,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-05-02T21:00:00Z,14.9,1018.8,62.7,13.6,10.3,0.0
1,2024-05-02T22:00:00Z,13.6,1019.3,71.4,12.6,9.9,0.0
2,2024-05-02T23:00:00Z,12.6,1019.7,76.2,12.1,9.9,0.0
3,2024-05-03T00:00:00Z,12.1,1019.8,75.2,11.6,9.9,0.0
4,2024-05-03T01:00:00Z,11.6,1019.9,74.4,13.0,9.9,0.0
5,2024-05-03T02:00:00Z,11.1,1019.9,75.1,14.5,9.9,0.0
6,2024-05-03T03:00:00Z,10.3,1019.7,73.5,16.1,9.9,0.0
7,2024-05-03T04:00:00Z,9.9,1019.8,75.3,17.4,10.7,0.0
8,2024-05-03T05:00:00Z,10.7,1020.0,68.3,18.7,11.6,0.0
9,2024-05-03T06:00:00Z,11.6,1019.7,62.6,19.7,13.0,0.0
10,2024-05-03T07:00:00Z,13.0,1019.7,58.1,20.4,14.5,0.0
11,2024-05-03T08:00:00Z,14.5,1019.9,54.0,20.8,16.1,0.0
12,2024-05-03T09:00:00Z,16.1,1019.8,49.2,20.8,17.4,0.0
13,2024-05-03T10:00:00Z,17.4,1019.5,44.9,20.8,18.7,0.0
14,2024-05-03T11:00:00Z,18.7,1019.1,41.2,20.8,19.7,0.0
15,2024-05-03T12:00:00Z,19.7,1018.5,39.5,20.8,18.8,0.0
16,2024-05-03T13:00:00Z,20.4,1017.9,38.3,20.8,16.7,0.0
17,2024-05-03T14:00:00Z,20.8,1017.4,36.7,20.7,14.9,0.0
18,2024-05-03T15:00:00Z,20.7,1017.2,36.5,20.5,13.5,0.0
19,2024-05-03T16:00:00Z,20.5,1016.9,38.2,20.0,12.4,0.0
20,2024-05-03T17:00:00Z,20.0,1016.5,41.6,18.8,11.1,0.0
21,2024-05-03T18:00:00Z,18.8,1016.5,52.1,16.7,10.2,0.0
22,2024-05-03T19:00:00Z,16.7,1016.6,61.1,14.9,9.4,0.0
23,2024-05-03T20:00:00Z,14.9,1016.8,60.0,13.5,8.9,0.0
24,2024-05-03T21:00:00Z,13.5,1016.9,71.1,12.4,8.5,0.0
25,2024-05-03T22:00:00Z,12.4,1017.1,76.9,11.1,8.5,0.0
26,2024-05-03T23:00:00Z,11.1,1017.2,78.8,10.2,8.5,0.0
27,2024-05-04T00:00:00Z,10.2,1017.0,76.8,12.4,8.5,0.0
28,2024-05-04T01:00:00Z,9.4,1016.8,74.2,14.1,8.5,0.0
29,2024-05-04T02:00:00Z,8.9,1016.6,75.6,16.0,8.5,0.0
30,2024-05-04T03:00:00Z,8.5,1016.5,79.5,17.9,8.5,0.0
31,2024-05-04T04:00:00Z,8.5,1016.3,81.9,19.4,10.2,0.0
32,2024-05-04T05:00:00Z,10.2,1016.3,77.8,20.6,12.4,0.0
33,2024-05-04T06:00:00Z,12.4,1016.3,67.1,21.5,14.1,0.0
34,2024-05-04T07:00:00Z,14.1,1015.9,63.6,22.0,16.0,0.0
35,2024-05-04T08:00:00Z,16.0,1015.5,60.3,22.0,17.9,0.0
36,2024-05-04T09:00:00Z,17.9,1015.0,57.2,22.0,19.4,0.0
37,2024-05-04T10:00:00Z,19.4,1014.6,54.2,22.0,20.0,0.0
38,2024-05-04T11:00:00Z,20.6,1014.1,51.7,22.0,18.7,0.0
39,2024-05-04T12:00:00Z,21.5,1013.6,49.8,22.0,17.8,0.0
40,2024-05-04T13:00:00Z,22.0,1013.4,48.0,21.5,16.3,0.0
41,2024-05-04T14:00:00Z,21.5,1013.1,49.0,20.8,15.3,0.0
42,2024-05-04T15:00:00Z,20.8,1012.9,56.5,20.0,13.9,0.0
43,2024-05-04T16:00:00Z,20.0,1012.9,62.0,18.7,13.2,0.0
44,2024-05-04T17:00:00Z,18.7,1012.6,73.3,17.8,12.6,0.0
45,2024-05-04T18:00:00Z,17.8,1012.5,80.8,16.3,12.1,0.0
46,2024-05-04T19:00:00Z,16.3,1012.5,84.4,15.3,11.8,0.0
47,2024-05-04T20:00:00Z,15.3,1012.2,95.9,13.9,11.7,0.0
48,2024-05-04T21:00:00Z,13.9,1012.1,97.0,13.2,11.4,0.0
49,2024-05-04T22:00:00Z,13.2,1012.0,97.9,12.6,11.4,0.0
50,2024-05-04T23:00:00Z,12.6,1011.5,99.2,12.1,11.4,0.0
51,2024-05-05T00:00:00Z,12.1,1011.4,98.5,11.9,11.4,0.7
52,2024-05-05T01:00:00Z,11.8,1010.7,97.4,,,
53,2024-05-05T02:00:00Z,11.7,1010.4,96.0,,,
54,2024-05-05T03:00:00Z,11.4,1010.0,96.4,,,
55,2024-05-05T04:00:00Z,11.4,1009.7,96.2,,,
56,2024-05-05T05:00:00Z,11.6,1009.4,97.7,,,
57,2024-05-05T06:00:00Z,11.9,1009.1,98.3,15.2,10.2,0.0
58,2024-05-05T12:00:00Z,15.2,1009.6,73.9,15.2,13.4,1.6
59,2024-05-05T18:00:00Z,13.5,1008.6,91.0,13.5,9.9,1.8
60,2024-05-06T00:00:00Z,9.9,1010.3,95.2,9.9,7.6,2.5
61,2024-05-06T06:00:00Z,8.3,1012.7,88.2,12.0,8.3,2.4
62,2024-05-06T12:00:00Z,12.0,1013.9,79.5,12.0,11.2,0.0
63,2024-05-06T18:00:00Z,11.5,1014.4,69.4,11.5,7.5,0.0
64,2024-05-07T00:00:00Z,7.6,1017.5,75.7,7.7,5.8,0.0
65,2024-05-07T06:00:00Z,7.7,1019.9,71.2,12.3,7.7,0.0
66,2024-05-07T12:00:00Z,12.3,1021.6,46.5,12.3,12.0,0.0
67,2024-05-07T18:00:00Z,12.2,1022.0,62.4,12.2,7.1,0.0
68,2024-05-08T00:00:00Z,7.2,1024.2,75.4,9.5,5.8,0.0
69,2024-05-08T06:00:00Z,9.5,1025.3,78.9,14.0,9.5,0.0
70,2024-05-08T12:00:00Z,14.0,1025.6,50.1,14.0,11.9,0.0
71,2024-05-08T18:00:00Z,11.9,1025.9,69.8,11.9,7.5,0.0
72,2024-05-09T00:00:00Z,7.5,1026.7,84.8,9.5,6.1,0.0
73,2024-05-09T06:00:00Z,9.5,1025.9,80.0,13.5,9.5,0.0
74,2024-05-09T12:00:00Z,13.5,1024.5,60.2,13.5,11.7,0.0
75,2024-05-09T18:00:00Z,11.8,1023.5,60.0,11.8,7.0,0.0
76,2024-05-10T00:00:00Z,7.1,1023.7,81.6,9.2,6.0,0.0
77,2024-05-10T06:00:00Z,9.2,1021.8,86.3,15.4,9.2,0.0
78,2024-05-10T12:00:00Z,15.4,1020.0,54.1,15.4,13.3,0.0
