index,elementId,snow_depth_cm,date,sourceId
121,surface_snow_thickness,0,5/7/2016,SN17850
122,surface_snow_thickness,0,5/8/2016,SN17850
123,surface_snow_thickness,0,7/18/2016,SN17850
124,surface_snow_thickness,0,7/19/2016,SN17850
125,surface_snow_thickness,-1,10/18/2016,SN17850
126,surface_snow_thickness,-1,10/19/2016,SN17850
127,surface_snow_thickness,-1,10/20/2016,SN17850
128,surface_snow_thickness,-1,10/21/2016,SN17850
129,surface_snow_thickness,-1,10/22/2016,SN17850
130,surface_snow_thickness,-1,10/23/2016,SN17850
131,surface_snow_thickness,-1,10/24/2016,SN17850
132,surface_snow_thickness,-1,10/25/2016,SN17850
133,surface_snow_thickness,-1,10/26/2016,SN17850
134,surface_snow_thickness,-1,10/27/2016,SN17850
135,surface_snow_thickness,-1,10/28/2016,SN17850
136,surface_snow_thickness,-1,10/29/2016,SN17850
137,surface_snow_thickness,-1,10/30/2016,SN17850
138,surface_snow_thickness,-1,10/31/2016,SN17850
139,surface_snow_thickness,-1,11/1/2016,SN17850
140,surface_snow_thickness,-1,11/2/2016,SN17850
141,surface_snow_thickness,0,11/3/2016,SN17850
142,surface_snow_thickness,0,11/4/2016,SN17850
143,surface_snow_thickness,0,11/5/2016,SN17850
144,surface_snow_thickness,1,11/6/2016,SN17850
145,surface_snow_thickness,1,11/7/2016,SN17850
146,surface_snow_thickness,1,11/8/2016,SN17850
147,surface_snow_thickness,1,11/9/2016,SN17850
148,surface_snow_thickness,1,11/10/2016,SN17850
149,surface_snow_thickness,1,11/11/2016,SN17850
150,surface_snow_thickness,1,11/12/2016,SN17850
151,surface_snow_thickness,0,11/13/2016,SN17850
152,surface_snow_thickness,0,11/14/2016,SN17850
153,surface_snow_thickness,0,11/15/2016,SN17850
154,surface_snow_thickness,0,11/16/2016,SN17850
155,surface_snow_thickness,0,11/17/2016,SN17850
156,surface_snow_thickness,0,11/18/2016,SN17850
157,surface_snow_thickness,0,11/19/2016,SN17850
158,surface_snow_thickness,0,11/20/2016,SN17850
159,surface_snow_thickness,0,11/21/2016,SN17850
160,surface_snow_thickness,0,11/22/2016,SN17850
161,surface_snow_thickness,0,11/23/2016,SN17850
162,surface_snow_thickness,0,11/24/2016,SN17850
163,surface_snow_thickness,0,11/25/2016,SN17850
164,surface_snow_thickness,0,11/26/2016,SN17850
165,surface_snow_thickness,0,11/27/2016,SN17850
166,surface_snow_thickness,0,11/28/2016,SN17850
167,surface_snow_thickness,0,11/29/2016,SN17850
168,surface_snow_thickness,0,11/30/2016,SN17850
169,surface_snow_thickness,0,12/1/2016,SN17850
170,surface_snow_thickness,1,12/2/2016,SN17850
171,surface_snow_thickness,0,12/3/2016,SN17850
172,surface_snow_thickness,1,12/4/2016,SN17850
173,surface_snow_thickness,1,12/5/2016,SN17850
174,surface_snow_thickness,0,12/6/2016,SN17850
175,surface_snow_thickness,0,12/7/2016,SN17850
176,surface_snow_thickness,0,12/8/2016,SN17850
177,surface_snow_thickness,0,12/9/2016,SN17850
178,surface_snow_thickness,0,12/10/2016,SN17850
179,surface_snow_thickness,1,12/11/2016,SN17850
180,surface_snow_thickness,1,12/12/2016,SN17850
181,surface_snow_thickness,1,12/13/2016,SN17850
182,surface_snow_thickness,0,12/14/2016,SN17850
183,surface_snow_thickness,0,12/15/2016,SN17850
184,surface_snow_thickness,0,12/16/2016,SN17850
185,surface_snow_thickness,0,12/17/2016,SN17850
186,surface_snow_thickness,1,12/18/2016,SN17850
187,surface_snow_thickness,1,12/19/2016,SN17850
188,surface_snow_thickness,1,12/20/2016,SN17850
189,surface_snow_thickness,0,12/21/2016,SN17850
190,surface_snow_thickness,1,12/22/2016,SN17850
191,surface_snow_thickness,0,12/23/2016,SN17850
192,surface_snow_thickness,0,12/24/2016,SN17850
193,surface_snow_thickness,1,12/25/2016,SN17850
194,surface_snow_thickness,1,12/26/2016,SN17850
195,surface_snow_thickness,1,12/27/2016,SN17850
196,surface_snow_thickness,1,12/28/2016,SN17850
197,surface_snow_thickness,1,12/29/2016,SN17850
198,surface_snow_thickness,1,12/30/2016,SN17850
199,surface_snow_thickness,0,12/31/2016,SN17850
200,surface_snow_thickness,1,1/1/2017,SN17850
201,surface_snow_thickness,1,1/2/2017,SN17850
202,surface_snow_thickness,0,1/3/2017,SN17850
203,surface_snow_thickness,0,1/4/2017,SN17850
204,surface_snow_thickness,0,1/5/2017,SN17850
205,surface_snow_thickness,0,1/6/2017,SN17850
206,surface_snow_thickness,0,1/7/2017,SN17850
207,surface_snow_thickness,2,1/8/2017,SN17850
208,surface_snow_thickness,2,1/9/2017,SN17850
209,surface_snow_thickness,2,1/10/2017,SN17850
210,surface_snow_thickness,0,1/11/2017,SN17850
211,surface_snow_thickness,0,1/12/2017,SN17850
212,surface_snow_thickness,0,1/13/2017,SN17850
213,surface_snow_thickness,2,1/14/2017,SN17850
214,surface_snow_thickness,2,1/15/2017,SN17850
215,surface_snow_thickness,2,1/16/2017,SN17850
216,surface_snow_thickness,2,1/17/2017,SN17850
217,surface_snow_thickness,0,1/18/2017,SN17850
218,surface_snow_thickness,0,1/19/2017,SN17850
219,surface_snow_thickness,0,1/20/2017,SN17850
220,surface_snow_thickness,0,1/21/2017,SN17850
221,surface_snow_thickness,2,1/22/2017,SN17850
222,surface_snow_thickness,2,1/23/2017,SN17850
223,surface_snow_thickness,2,1/24/2017,SN17850
224,surface_snow_thickness,0,1/25/2017,SN17850
225,surface_snow_thickness,0,1/26/2017,SN17850
226,surface_snow_thickness,0,1/27/2017,SN17850
227,surface_snow_thickness,0,1/28/2017,SN17850
228,surface_snow_thickness,3,1/29/2017,SN17850
229,surface_snow_thickness,3,1/30/2017,SN17850
230,surface_snow_thickness,0,1/31/2017,SN17850
231,surface_snow_thickness,3,2/1/2017,SN17850
232,surface_snow_thickness,2,2/2/2017,SN17850
233,surface_snow_thickness,4,2/3/2017,SN17850
234,surface_snow_thickness,4,2/4/2017,SN17850
235,surface_snow_thickness,7,2/5/2017,SN17850
236,surface_snow_thickness,9,2/6/2017,SN17850
237,surface_snow_thickness,8,2/7/2017,SN17850
238,surface_snow_thickness,8,2/8/2017,SN17850
239,surface_snow_thickness,7,2/9/2017,SN17850
240,surface_snow_thickness,10,2/10/2017,SN17850
241,surface_snow_thickness,9,2/11/2017,SN17850
242,surface_snow_thickness,8,2/12/2017,SN17850
243,surface_snow_thickness,8,2/13/2017,SN17850
244,surface_snow_thickness,8,2/14/2017,SN17850
245,surface_snow_thickness,8,2/15/2017,SN17850
246,surface_snow_thickness,8,2/16/2017,SN17850
247,surface_snow_thickness,7,2/17/2017,SN17850
248,surface_snow_thickness,7,2/18/2017,SN17850
249,surface_snow_thickness,6,2/19/2017,SN17850
250,surface_snow_thickness,3,2/20/2017,SN17850
251,surface_snow_thickness,3,2/21/2017,SN17850
252,surface_snow_thickness,9,2/22/2017,SN17850
253,surface_snow_thickness,7,2/23/2017,SN17850
254,surface_snow_thickness,7,2/24/2017,SN17850
255,surface_snow_thickness,7,2/25/2017,SN17850
256,surface_snow_thickness,13,2/26/2017,SN17850
257,surface_snow_thickness,11,2/27/2017,SN17850
258,surface_snow_thickness,2,2/28/2017,SN17850
259,surface_snow_thickness,3,3/1/2017,SN17850
260,surface_snow_thickness,0,3/2/2017,SN17850
261,surface_snow_thickness,0,3/3/2017,SN17850
262,surface_snow_thickness,6,3/4/2017,SN17850
263,surface_snow_thickness,3,3/5/2017,SN17850
264,surface_snow_thickness,3,3/6/2017,SN17850
265,surface_snow_thickness,2,3/7/2017,SN17850
266,surface_snow_thickness,1,3/8/2017,SN17850
267,surface_snow_thickness,3,3/11/2017,SN17850
268,surface_snow_thickness,3,3/12/2017,SN17850
269,surface_snow_thickness,3,3/13/2017,SN17850
270,surface_snow_thickness,0,3/14/2017,SN17850
271,surface_snow_thickness,0,3/15/2017,SN17850
272,surface_snow_thickness,0,3/16/2017,SN17850
273,surface_snow_thickness,2,3/17/2017,SN17850
274,surface_snow_thickness,0,3/18/2017,SN17850
275,surface_snow_thickness,2,3/19/2017,SN17850
276,surface_snow_thickness,3,3/20/2017,SN17850
277,surface_snow_thickness,2,3/21/2017,SN17850
278,surface_snow_thickness,0,3/22/2017,SN17850
279,surface_snow_thickness,0,3/23/2017,SN17850
280,surface_snow_thickness,0,3/24/2017,SN17850
281,surface_snow_thickness,0,3/25/2017,SN17850
282,surface_snow_thickness,1,3/26/2017,SN17850
283,surface_snow_thickness,1,3/27/2017,SN17850
284,surface_snow_thickness,0,3/28/2017,SN17850
285,surface_snow_thickness,0,3/29/2017,SN17850
286,surface_snow_thickness,0,3/30/2017,SN17850
287,surface_snow_thickness,0,3/31/2017,SN17850
288,surface_snow_thickness,0,4/1/2017,SN17850
289,surface_snow_thickness,0,4/2/2017,SN17850
290,surface_snow_thickness,0,4/3/2017,SN17850
291,surface_snow_thickness,0,4/4/2017,SN17850
292,surface_snow_thickness,0,4/5/2017,SN17850
293,surface_snow_thickness,0,4/6/2017,SN17850
294,surface_snow_thickness,0,4/7/2017,SN17850
295,surface_snow_thickness,0,4/8/2017,SN17850
296,surface_snow_thickness,0,4/9/2017,SN17850
297,surface_snow_thickness,0,4/10/2017,SN17850
298,surface_snow_thickness,0,4/11/2017,SN17850
299,surface_snow_thickness,0,4/12/2017,SN17850
300,surface_snow_thickness,0,4/13/2017,SN17850
301,surface_snow_thickness,0,4/14/2017,SN17850
302,surface_snow_thickness,0,4/15/2017,SN17850
303,surface_snow_thickness,0,4/16/2017,SN17850
304,surface_snow_thickness,0,4/17/2017,SN17850
305,surface_snow_thickness,0,4/18/2017,SN17850
306,surface_snow_thickness,0,4/19/2017,SN17850
307,surface_snow_thickness,0,4/20/2017,SN17850
308,surface_snow_thickness,0,4/21/2017,SN17850
309,surface_snow_thickness,0,4/22/2017,SN17850
310,surface_snow_thickness,1,4/24/2017,SN17850
311,surface_snow_thickness,1,4/25/2017,SN17850
312,surface_snow_thickness,0,4/26/2017,SN17850
313,surface_snow_thickness,0,4/27/2017,SN17850
314,surface_snow_thickness,0,4/28/2017,SN17850
315,surface_snow_thickness,0,4/29/2017,SN17850
316,surface_snow_thickness,0,4/30/2017,SN17850
317,surface_snow_thickness,0,5/1/2017,SN17850
318,surface_snow_thickness,0,5/2/2017,SN17850
319,surface_snow_thickness,0,5/3/2017,SN17850
320,surface_snow_thickness,0,5/4/2017,SN17850
321,surface_snow_thickness,0,5/5/2017,SN17850
322,surface_snow_thickness,0,5/6/2017,SN17850
323,surface_snow_thickness,0,5/7/2017,SN17850
324,surface_snow_thickness,0,5/8/2017,SN17850
325,surface_snow_thickness,0,5/9/2017,SN17850
326,surface_snow_thickness,0,5/10/2017,SN17850
327,surface_snow_thickness,0,5/11/2017,SN17850
328,surface_snow_thickness,0,5/12/2017,SN17850
329,surface_snow_thickness,0,5/13/2017,SN17850
330,surface_snow_thickness,0,5/14/2017,SN17850
331,surface_snow_thickness,0,5/15/2017,SN17850
332,surface_snow_thickness,0,5/16/2017,SN17850
333,surface_snow_thickness,0,5/17/2017,SN17850
334,surface_snow_thickness,0,5/18/2017,SN17850
335,surface_snow_thickness,0,5/19/2017,SN17850
336,surface_snow_thickness,0,5/20/2017,SN17850
337,surface_snow_thickness,0,5/21/2017,SN17850
338,surface_snow_thickness,0,5/22/2017,SN17850
339,surface_snow_thickness,0,5/23/2017,SN17850
340,surface_snow_thickness,0,5/24/2017,SN17850
341,surface_snow_thickness,0,5/25/2017,SN17850
342,surface_snow_thickness,0,5/26/2017,SN17850
343,surface_snow_thickness,0,5/27/2017,SN17850
344,surface_snow_thickness,0,5/28/2017,SN17850
345,surface_snow_thickness,0,5/29/2017,SN17850
346,surface_snow_thickness,0,5/30/2017,SN17850
347,surface_snow_thickness,0,5/31/2017,SN17850
