mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
6.4,0.5,12.9,61.6,0.0,17.8,5.5,4.5,2.2,4.0,26.0,57,Apelsvoll
5.2,2.4,10.3,78.0,0.0,13.9,6.1,5.2,1.6,4.0,27.0,58,Apelsvoll
3.4,0.4,8.0,86.7,0.0,9.8,5.7,5.2,1.0,4.0,28.0,59,Apelsvoll
5.2,-0.9,10.8,74.0,0.1,17.5,5.9,5.2,2.1,4.0,29.0,60,Apelsvoll
6.3,2.1,11.2,74.1,1.5,15.6,6.8,5.9,1.9,4.0,30.0,61,Apelsvoll
3.1,0.8,5.9,90.3,8.3,2.0,6.0,5.9,0.3,5.0,1.0,62,Apelsvoll
6.2,3.2,12.5,81.9,0.0,9.8,5.7,5.3,1.3,5.0,2.0,63,Apelsvoll
5.8,2.8,10.6,79.1,1.4,4.7,5.6,5.5,0.7,5.0,3.0,64,Apelsvoll
7.6,1.2,14.2,67.4,0.0,19.3,6.0,5.4,2.7,5.0,4.0,65,Apelsvoll
12.7,5.7,21.4,66.9,0.1,20.9,8.3,6.8,3.3,5.0,5.0,66,Apelsvoll
14.9,9.7,20.3,61.4,0.0,19.9,9.8,8.3,3.4,5.0,6.0,67,Apelsvoll
14.1,6.0,20.8,61.8,0.0,20.6,10.5,9.1,3.3,5.0,7.0,68,Apelsvoll
14.8,7.9,22.6,58.0,0.0,22.1,11.3,9.9,3.8,5.0,8.0,69,Apelsvoll
16.1,7.0,23.5,51.9,0.0,23.8,11.2,10.2,4.4,5.0,9.0,70,Apelsvoll
16.7,10.0,23.9,53.3,0.0,21.5,11.6,10.5,4.0,5.0,10.0,71,Apelsvoll
10.8,8.2,15.6,92.0,12.2,3.0,11.3,10.7,0.5,5.0,11.0,72,Apelsvoll
11.3,8.4,15.5,85.5,0.1,12.3,10.9,10.2,1.8,5.0,12.0,73,Apelsvoll
15.5,9.7,22.1,77.2,0.3,18.6,11.7,10.7,3.0,5.0,13.0,74,Apelsvoll
18.0,10.8,23.9,63.9,0.0,25.0,13.0,11.6,4.4,5.0,14.0,75,Apelsvoll
17.6,9.3,24.9,54.0,0.0,25.5,13.5,12.2,4.6,5.0,15.0,76,Apelsvoll
16.1,8.1,24.6,50.5,0.1,23.3,13.8,12.7,4.4,5.0,16.0,77,Apelsvoll
10.6,5.7,17.2,54.6,0.0,21.7,12.9,12.4,3.5,5.0,17.0,78,Apelsvoll
12.4,6.0,17.8,43.6,0.0,26.8,12.6,12.0,4.4,5.0,18.0,79,Apelsvoll
15.4,8.0,22.3,46.0,0.2,26.1,12.9,12.1,4.8,5.0,19.0,80,Apelsvoll
15.7,7.6,23.6,48.7,0.0,23.0,12.9,12.2,4.4,5.0,20.0,81,Apelsvoll
17.4,10.9,23.3,48.6,0.0,25.0,13.1,12.3,4.9,5.0,21.0,82,Apelsvoll
16.0,9.0,23.2,44.1,0.0,25.1,13.6,12.6,4.5,5.0,22.0,83,Apelsvoll
16.6,9.4,23.0,52.2,0.0,26.4,14.0,13.0,4.7,5.0,23.0,84,Apelsvoll
19.4,10.7,26.7,38.3,0.0,27.3,14.4,13.3,5.4,5.0,24.0,85,Apelsvoll
20.1,12.4,27.1,39.7,0.0,26.8,14.9,13.7,5.5,5.0,25.0,86,Apelsvoll
19.9,14.3,27.1,40.4,0.0,26.0,15.5,14.2,5.1,5.0,26.0,87,Apelsvoll
19.8,11.9,26.1,46.5,0.0,26.1,15.9,14.6,5.0,5.0,27.0,88,Apelsvoll
19.5,15.5,25.1,40.6,0.0,21.8,16.0,14.9,4.6,5.0,28.0,89,Apelsvoll
19.7,13.2,25.9,54.7,0.1,26.8,16.4,15.0,5.2,5.0,29.0,90,Apelsvoll
21.7,13.7,27.8,49.0,0.0,26.6,17.1,15.6,5.4,5.0,30.0,91,Apelsvoll
21.7,14.6,28.0,50.3,0.0,25.7,17.4,16.0,5.2,5.0,31.0,92,Apelsvoll
20.2,14.6,25.9,53.3,0.0,22.1,17.3,16.1,4.4,6.0,1.0,93,Apelsvoll
21.8,14.1,29.7,55.6,0.2,24.5,17.8,16.4,4.9,6.0,2.0,94,Apelsvoll
22.9,17.2,28.4,44.2,0.0,24.4,18.3,16.9,5.3,6.0,3.0,95,Apelsvoll
16.9,8.8,22.2,44.2,0.0,28.8,17.8,16.8,5.5,6.0,4.0,96,Apelsvoll
10.8,5.6,16.6,42.9,0.0,27.6,16.1,15.9,4.9,6.0,5.0,97,Apelsvoll
12.1,3.6,19.9,49.2,0.0,27.5,15.3,15.1,4.7,6.0,6.0,98,Apelsvoll
18.3,10.4,24.9,48.6,0.0,28.2,16.1,15.2,5.7,6.0,7.0,99,Apelsvoll
18.4,9.3,24.3,47.2,0.0,28.6,16.8,15.8,5.5,6.0,8.0,100,Apelsvoll
20.2,14.5,28.0,47.1,0.8,25.7,17.5,16.3,5.0,6.0,9.0,101,Apelsvoll
19.8,14.9,27.7,66.6,13.3,19.3,17.9,16.8,3.8,6.0,10.0,102,Apelsvoll
14.0,12.1,15.8,86.9,21.7,5.9,16.9,16.6,1.0,6.0,11.0,103,Apelsvoll
15.1,10.1,20.1,51.8,0.0,28.9,16.5,15.9,5.4,6.0,12.0,104,Apelsvoll
13.1,9.8,16.9,65.2,0.0,22.9,17.0,16.4,3.8,6.0,13.0,105,Apelsvoll
