,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-05-04T09:00:00Z,17.4,1015.7,45.1,22.7,18.7,0.0
1,2024-05-04T10:00:00Z,18.7,1015.3,42.3,22.7,20.0,0.0
2,2024-05-04T11:00:00Z,20.0,1014.7,41.1,22.7,21.2,0.0
3,2024-05-04T12:00:00Z,21.3,1014.2,39.5,22.7,19.3,0.0
4,2024-05-04T13:00:00Z,22.1,1013.8,38.7,22.7,17.4,0.0
5,2024-05-04T14:00:00Z,22.6,1013.1,38.7,22.7,15.2,0.0
6,2024-05-04T15:00:00Z,22.7,1012.5,39.8,22.4,13.7,0.0
7,2024-05-04T16:00:00Z,22.4,1011.8,42.0,21.2,13.2,0.0
8,2024-05-04T17:00:00Z,21.2,1011.2,41.7,19.3,12.4,0.0
9,2024-05-04T18:00:00Z,19.3,1010.9,58.2,17.4,11.7,0.0
10,2024-05-04T19:00:00Z,17.4,1010.8,68.2,15.2,11.3,0.0
11,2024-05-04T20:00:00Z,15.2,1010.7,74.9,13.7,11.0,0.0
12,2024-05-04T21:00:00Z,13.7,1011.0,87.0,13.2,10.8,0.0
13,2024-05-04T22:00:00Z,13.2,1011.2,83.9,12.4,10.5,0.7
14,2024-05-04T23:00:00Z,12.4,1010.8,78.5,11.7,10.3,0.9
15,2024-05-05T00:00:00Z,11.7,1010.5,76.2,11.3,10.3,1.3
16,2024-05-05T01:00:00Z,11.3,1010.1,77.1,11.0,10.3,1.8
17,2024-05-05T02:00:00Z,11.0,1009.8,79.6,10.8,10.3,2.2
18,2024-05-05T03:00:00Z,10.8,1009.8,90.5,11.0,10.3,2.2
19,2024-05-05T04:00:00Z,10.5,1009.8,95.8,11.6,10.3,1.7
20,2024-05-05T05:00:00Z,10.3,1009.8,96.7,12.0,10.4,1.5
21,2024-05-05T06:00:00Z,10.4,1009.8,96.4,12.3,10.5,1.1
22,2024-05-05T07:00:00Z,10.5,1009.7,96.7,12.3,10.7,0.7
23,2024-05-05T08:00:00Z,10.7,1009.5,97.0,12.7,11.0,0.0
24,2024-05-05T09:00:00Z,11.0,1009.5,96.8,12.8,11.6,0.0
25,2024-05-05T10:00:00Z,11.6,1009.5,97.8,12.9,12.0,0.0
26,2024-05-05T11:00:00Z,12.0,1009.5,97.1,12.9,12.3,0.0
27,2024-05-05T12:00:00Z,12.3,1009.4,95.1,12.9,12.3,0.0
28,2024-05-05T13:00:00Z,12.3,1009.3,95.1,12.9,12.2,0.8
29,2024-05-05T14:00:00Z,12.7,1009.0,93.9,12.9,11.7,0.9
30,2024-05-05T15:00:00Z,12.8,1008.7,91.2,12.9,11.5,0.9
31,2024-05-05T16:00:00Z,12.9,1008.5,91.4,12.8,10.6,0.9
32,2024-05-05T17:00:00Z,12.8,1008.2,93.6,12.5,10.0,0.8
33,2024-05-05T18:00:00Z,12.5,1008.2,96.1,12.2,9.2,0.6
34,2024-05-05T19:00:00Z,12.2,1008.3,96.2,11.7,8.6,1.0
35,2024-05-05T20:00:00Z,11.7,1008.5,95.0,11.5,8.1,0.8
36,2024-05-05T21:00:00Z,11.5,1008.7,91.8,10.6,7.5,0.8
37,2024-05-05T22:00:00Z,10.6,1009.1,87.2,10.0,7.1,0.8
38,2024-05-05T23:00:00Z,10.0,1009.5,85.4,9.2,7.0,0.6
39,2024-05-06T00:00:00Z,9.2,1009.9,83.5,8.6,6.9,0.0
40,2024-05-06T01:00:00Z,8.6,1010.4,82.8,8.1,6.9,0.0
41,2024-05-06T02:00:00Z,8.1,1010.8,82.9,7.9,6.9,0.0
42,2024-05-06T03:00:00Z,7.5,1011.3,81.2,9.6,6.9,0.0
43,2024-05-06T04:00:00Z,7.1,1011.8,81.2,10.9,6.9,0.0
44,2024-05-06T05:00:00Z,7.0,1012.3,78.9,11.6,6.9,0.0
45,2024-05-06T06:00:00Z,6.9,1012.8,74.1,13.1,7.2,0.0
46,2024-05-06T07:00:00Z,7.2,1013.2,70.6,14.2,7.9,0.0
47,2024-05-06T08:00:00Z,7.9,1013.7,67.6,14.2,9.6,0.0
48,2024-05-06T09:00:00Z,9.6,1013.8,60.9,14.4,10.9,0.0
49,2024-05-06T10:00:00Z,10.9,1014.1,58.6,14.4,11.6,0.0
50,2024-05-06T11:00:00Z,11.6,1014.3,60.0,14.4,13.1,0.0
51,2024-05-06T12:00:00Z,13.1,1014.5,56.1,14.4,12.9,0.0
52,2024-05-06T13:00:00Z,14.2,1014.7,52.0,,,
