,date,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall
0,2024-05-01 21:00:00+00:00,15.4325,68.0,0.0,0.0,0.0
1,2024-05-01 22:00:00+00:00,14.9325,69.0,0.0,0.0,0.0
2,2024-05-01 23:00:00+00:00,11.6825,74.0,0.0,0.0,0.0
3,2024-05-02 00:00:00+00:00,13.1825,77.0,0.0,0.0,0.0
4,2024-05-02 01:00:00+00:00,10.632501,77.0,0.0,0.0,0.0
5,2024-05-02 02:00:00+00:00,9.882501,75.0,0.0,0.0,0.0
6,2024-05-02 03:00:00+00:00,9.0325,73.0,0.0,0.0,0.0
7,2024-05-02 04:00:00+00:00,9.5825,72.0,0.0,0.0,0.0
8,2024-05-02 05:00:00+00:00,9.9825,67.0,0.0,0.0,0.0
9,2024-05-02 06:00:00+00:00,11.382501,60.0,0.0,0.0,0.0
10,2024-05-02 07:00:00+00:00,12.9325,57.0,0.0,0.0,0.0
11,2024-05-02 08:00:00+00:00,13.9825,56.0,0.0,0.0,0.0
12,2024-05-02 09:00:00+00:00,15.7325,53.0,0.0,0.0,0.0
13,2024-05-02 10:00:00+00:00,17.832499,47.0,0.0,0.0,0.0
14,2024-05-02 11:00:00+00:00,19.3825,40.0,0.0,0.0,0.0
15,2024-05-02 12:00:00+00:00,20.682499,34.0,0.0,0.0,0.0
16,2024-05-02 13:00:00+00:00,20.7325,32.0,0.0,0.0,0.0
17,2024-05-02 14:00:00+00:00,21.2325,33.0,0.0,0.0,0.0
18,2024-05-02 15:00:00+00:00,21.4825,33.0,0.0,0.0,0.0
19,2024-05-02 16:00:00+00:00,21.082499,33.0,0.0,0.0,0.0
20,2024-05-02 17:00:00+00:00,19.3825,36.0,0.0,0.0,0.0
21,2024-05-02 18:00:00+00:00,20.0325,42.0,0.0,0.0,0.0
22,2024-05-02 19:00:00+00:00,18.2325,54.0,0.0,0.0,0.0
23,2024-05-02 20:00:00+00:00,16.3825,57.0,0.0,0.0,0.0
24,2024-05-02 21:00:00+00:00,14.882501,62.0,0.0,0.0,0.0
25,2024-05-02 22:00:00+00:00,13.632501,70.0,0.0,0.0,0.0
26,2024-05-02 23:00:00+00:00,12.5825,74.0,0.0,0.0,0.0
27,2024-05-03 00:00:00+00:00,12.132501,73.0,0.0,0.0,0.0
28,2024-05-03 01:00:00+00:00,11.5825,73.0,0.0,0.0,0.0
29,2024-05-03 02:00:00+00:00,11.132501,73.0,0.0,0.0,0.0
30,2024-05-03 03:00:00+00:00,10.3325,71.0,0.0,0.0,0.0
31,2024-05-03 04:00:00+00:00,9.9325,73.0,0.0,0.0,0.0
32,2024-05-03 05:00:00+00:00,10.7825,67.0,0.0,0.0,0.0
33,2024-05-03 06:00:00+00:00,11.632501,62.0,0.0,0.0,0.0
34,2024-05-03 07:00:00+00:00,12.9825,58.0,0.0,0.0,0.0
35,2024-05-03 08:00:00+00:00,14.382501,54.0,0.0,0.0,0.0
36,2024-05-03 09:00:00+00:00,16.182499,49.0,0.0,0.0,0.0
37,2024-05-03 10:00:00+00:00,17.432499,45.0,0.0,0.0,0.0
38,2024-05-03 11:00:00+00:00,18.7325,41.0,0.0,0.0,0.0
39,2024-05-03 12:00:00+00:00,19.6325,39.0,0.0,0.0,0.0
40,2024-05-03 13:00:00+00:00,20.3825,38.0,0.0,0.0,0.0
41,2024-05-03 14:00:00+00:00,20.7825,37.0,0.0,0.0,0.0
42,2024-05-03 15:00:00+00:00,20.7325,37.0,0.0,0.0,0.0
43,2024-05-03 16:00:00+00:00,20.5325,38.0,0.0,0.0,0.0
44,2024-05-03 17:00:00+00:00,20.0325,42.0,0.0,0.0,0.0
45,2024-05-03 18:00:00+00:00,18.7825,52.0,0.0,0.0,0.0
46,2024-05-03 19:00:00+00:00,16.682499,61.0,0.0,0.0,0.0
47,2024-05-03 20:00:00+00:00,14.882501,60.0,0.0,0.0,0.0
