mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,air_pressure_2m_mbar,precipitation_mm,evaporation_mm,earth_heat_flux_MJ_m2,radiation_balance_w_m2,phosynthetic_active_radiation_mE_m2,albedo_RR_GR,snow_depth_cm,ST2,ST5,ST10,ST20,ST50,ST100,month,day,ID
-1.4264275311316665,-1.265579985144681,-1.516987996189416,1.283979081845859,0.1341672518551626,-0.005348116664437823,-0.7689172200281886,-0.7065398447002749,-0.6344665886279153,-1.0580941433679807,1.6974273391439711,0.43484309882026784,-1.0770087932625623,-1.0912380630512297,-1.0810038680828955,-1.0886840784439755,-1.019184240077766,-0.8848453938318966,-1.5815920635039933,-1.6735162758680178,1
-0.7318070611140902,-0.9342311182482886,-0.7189609396950556,0.4938989936253771,-0.1731791025441082,-0.05782398961897926,-0.7689172200281886,-0.5496180653043532,-1.058117565996934,-1.0345020979794002,1.8261514737128135,0.8003147355288008,-1.0626493348901835,-1.0912380630512297,-1.0959562247711072,-1.0886840784439755,-1.019184240077766,-0.8848453938318966,-1.5815920635039933,-1.5599020216694215,2
-0.5457480066450966,-0.43720781790369995,-0.6505586205669676,0.4938989936253771,-0.6746389439324019,1.0711441741408978,-0.7689172200281886,-0.3926962859084315,-0.9750090010585141,-1.0822104564318624,0.19564576917414456,0.8117357241759424,-1.0626493348901835,-1.0912380630512297,-1.0959562247711072,-1.0729631667069097,-1.019184240077766,-0.8848453938318966,-1.5815920635039933,-1.446287767470825,3
-0.5829598175388953,-0.7175799360468014,-0.6733593936096636,-0.9823032764707854,-1.0386017320368057,-0.09882216099963391,-0.7689172200281886,-0.3926962859084315,-1.5892015663351298,-0.9888908102281452,0.5818181728806713,0.7988871119479081,-1.048289876517805,-1.0765510223579653,-1.0810038680828955,-1.0729631667069097,-1.019184240077766,-0.8848453938318966,-1.5815920635039933,-1.3326735132722287,4
-0.7318070611140902,-0.7558124976117696,-0.6733593936096636,1.159229594232099,-0.5290538286906439,-0.2559818179588098,-0.7689172200281886,-0.5496180653043532,-0.6993318100432674,-1.0313564919275895,-0.7483312176640322,1.1586482543328702,-1.048289876517805,-1.0765510223579653,-1.0810038680828955,-1.0729631667069097,-1.019184240077766,-0.8848453938318966,-1.5815920635039933,-1.2190592590736324,5
-0.17362989770710927,-0.08037057663066191,-0.4453516631827034,0.7433979688528981,-1.095218165741939,-0.2035952656390845,-0.7689172200281886,-0.3926962859084315,-0.8452785582278097,-1.1094723755475553,1.9548756082816559,1.0629974744130588,-1.048289876517805,-1.0765510223579653,-1.0810038680828955,-1.0729631667069097,-1.019184240077766,-0.9075351644672545,-1.5815920635039933,-1.105445004875036,6
-0.3720928891407025,-0.2970217588321493,-0.5251543688321395,-0.0951958089951573,-0.7393434395954033,0.2678837052384431,-0.7689172200281886,-0.3926962859084315,-0.8919004361200941,-1.089025936210786,-1.3490438456519631,1.3371012019444586,-1.048289876517805,-1.0765510223579653,-1.0660515113946838,-1.0729631667069097,-1.019184240077766,-0.9075351644672545,-1.5815920635039933,-0.9918307506764397,7
-0.1860338346717088,0.12353641838250266,-0.4453516631827034,0.22360843712889722,-1.2731555288151977,0.20714567356339939,-0.7689172200281886,-0.3926962859084315,-1.2101454286891655,-0.9810267950986183,-0.5337909933826285,1.5655209748872916,-1.048289876517805,-1.0765510223579653,-1.0660515113946838,-1.0729631667069097,-1.019184240077766,-0.9302249351026121,-1.5815920635039933,-0.8782164964778433,8
-0.5829598175388953,-0.6538590001051874,-0.7531620992590996,0.5146905748943379,-0.15700297862836243,-0.136127736136408,-0.7689172200281886,-0.5496180653043532,-1.4777144670274933,-0.9742113153196952,-0.4050668588137862,1.2114703268259004,-1.048289876517805,-1.0765510223579653,-1.0660515113946838,-1.0729631667069097,-1.0370867159162565,-0.9302249351026121,-1.5815920635039933,-0.7646022422792469,9
-0.8434424937954864,-0.8832543694949975,-0.6961601666523596,0.7433979688528981,0.7893002704430916,-0.3782171067048355,-0.7689172200281886,-0.5496180653043532,-0.6000069397510095,-0.9894150779034468,-1.0915955765142782,1.2343123041201838,-1.048289876517805,-1.0618639816647009,-1.0660515113946838,-1.0729631667069097,-1.0370867159162565,-0.9529147057379699,-1.5815920635039933,-0.6509879880806505,10
