,date,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall
0,2024-05-02 21:00:00+00:00,14.882501,62.0,0.0,0.0,0.0
1,2024-05-02 22:00:00+00:00,12.5325,70.0,0.0,0.0,0.0
2,2024-05-02 23:00:00+00:00,12.382501,74.0,0.0,0.0,0.0
3,2024-05-03 00:00:00+00:00,10.7325,73.0,0.0,0.0,0.0
4,2024-05-03 01:00:00+00:00,9.5825,74.0,0.0,0.0,0.0
5,2024-05-03 02:00:00+00:00,9.382501,75.0,0.0,0.0,0.0
6,2024-05-03 03:00:00+00:00,8.7825,72.0,0.0,0.0,0.0
7,2024-05-03 04:00:00+00:00,8.3325,73.0,0.0,0.0,0.0
8,2024-05-03 05:00:00+00:00,9.6825,68.0,0.0,0.0,0.0
9,2024-05-03 06:00:00+00:00,11.1825,62.0,0.0,0.0,0.0
10,2024-05-03 07:00:00+00:00,12.882501,57.0,0.0,0.0,0.0
11,2024-05-03 08:00:00+00:00,14.0325,52.0,0.0,0.0,0.0
12,2024-05-03 09:00:00+00:00,15.5825,47.0,0.0,0.0,0.0
13,2024-05-03 10:00:00+00:00,16.932499,42.0,0.0,0.0,0.0
14,2024-05-03 11:00:00+00:00,18.3825,39.0,0.0,0.0,0.0
15,2024-05-03 12:00:00+00:00,19.8825,37.0,0.0,0.0,0.0
16,2024-05-03 13:00:00+00:00,20.2825,36.0,0.0,0.0,0.0
17,2024-05-03 14:00:00+00:00,20.7825,36.0,0.0,0.0,0.0
18,2024-05-03 15:00:00+00:00,21.2325,36.0,0.0,0.0,0.0
19,2024-05-03 16:00:00+00:00,21.1325,39.0,0.0,0.0,0.0
20,2024-05-03 17:00:00+00:00,20.8825,42.0,0.0,0.0,0.0
21,2024-05-03 18:00:00+00:00,20.082499,57.0,0.0,0.0,0.0
22,2024-05-03 19:00:00+00:00,18.682499,64.0,0.0,0.0,0.0
23,2024-05-03 20:00:00+00:00,15.2825,70.0,0.0,0.0,0.0
24,2024-05-03 21:00:00+00:00,14.0325,76.0,0.0,0.0,0.0
25,2024-05-03 22:00:00+00:00,13.1825,75.0,0.0,0.0,0.0
26,2024-05-03 23:00:00+00:00,12.5825,75.0,0.0,0.0,0.0
27,2024-05-04 00:00:00+00:00,12.132501,78.0,0.0,0.0,0.0
28,2024-05-04 01:00:00+00:00,11.632501,78.0,0.0,0.0,0.0
29,2024-05-04 02:00:00+00:00,10.9825,76.0,0.0,0.0,0.0
30,2024-05-04 03:00:00+00:00,10.132501,76.0,0.0,0.0,0.0
31,2024-05-04 04:00:00+00:00,9.6825,79.0,0.0,0.0,0.0
32,2024-05-04 05:00:00+00:00,11.1825,74.0,0.0,0.0,0.0
33,2024-05-04 06:00:00+00:00,13.5825,62.0,0.0,0.0,0.0
34,2024-05-04 07:00:00+00:00,15.382501,57.0,0.0,0.0,0.0
35,2024-05-04 08:00:00+00:00,17.2825,52.0,0.0,0.0,0.0
36,2024-05-04 09:00:00+00:00,18.932499,48.0,0.0,0.0,0.0
37,2024-05-04 10:00:00+00:00,20.2325,47.0,0.0,0.0,0.0
38,2024-05-04 11:00:00+00:00,21.332499,46.0,0.0,0.0,0.0
39,2024-05-04 12:00:00+00:00,22.2325,44.0,0.0,0.0,0.0
40,2024-05-04 13:00:00+00:00,22.582499,44.0,0.0,0.0,0.0
41,2024-05-04 14:00:00+00:00,22.6325,45.0,0.0,0.0,0.0
42,2024-05-04 15:00:00+00:00,22.082499,47.0,0.0,0.0,0.0
43,2024-05-04 16:00:00+00:00,20.9825,52.0,0.0,0.0,0.0
44,2024-05-04 17:00:00+00:00,20.332499,57.0,0.0,0.0,0.0
45,2024-05-04 18:00:00+00:00,19.082499,64.0,0.0,0.0,0.0
46,2024-05-04 19:00:00+00:00,17.6325,76.0,0.0,0.0,0.0
47,2024-05-04 20:00:00+00:00,16.4825,73.0,0.0,0.0,0.0
