,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-04-30T10:00:00Z,12.7,1028.1,77.3,16.8,14.3,0.0
1,2024-04-30T11:00:00Z,14.3,1028.0,73.2,16.8,15.4,0.0
2,2024-04-30T12:00:00Z,15.4,1027.7,73.9,16.8,14.1,0.0
3,2024-04-30T13:00:00Z,15.9,1027.4,72.0,16.8,13.0,0.0
4,2024-04-30T14:00:00Z,16.4,1026.9,68.4,16.8,12.0,0.0
5,2024-04-30T15:00:00Z,16.8,1026.4,60.7,16.7,11.4,0.0
6,2024-04-30T16:00:00Z,16.7,1026.3,53.9,15.5,11.1,0.0
7,2024-04-30T17:00:00Z,15.5,1026.2,68.0,14.1,10.8,0.0
8,2024-04-30T18:00:00Z,14.1,1026.2,79.0,13.0,10.0,0.0
9,2024-04-30T19:00:00Z,13.0,1026.4,69.6,12.0,9.3,0.0
10,2024-04-30T20:00:00Z,12.0,1026.7,68.5,11.4,8.7,0.0
11,2024-04-30T21:00:00Z,11.4,1026.8,70.0,11.1,8.0,0.0
12,2024-04-30T22:00:00Z,11.1,1027.2,67.4,10.8,7.2,0.0
13,2024-04-30T23:00:00Z,10.8,1027.2,71.0,10.0,7.2,0.0
14,2024-05-01T00:00:00Z,10.0,1027.2,77.2,9.6,7.2,0.0
15,2024-05-01T01:00:00Z,9.3,1027.2,78.1,11.1,7.2,0.0
16,2024-05-01T02:00:00Z,8.7,1027.0,76.0,12.5,7.2,0.0
17,2024-05-01T03:00:00Z,8.0,1026.8,79.1,14.0,7.2,0.0
18,2024-05-01T04:00:00Z,7.2,1027.0,81.7,15.0,8.1,0.0
19,2024-05-01T05:00:00Z,8.1,1027.2,75.2,15.7,9.6,0.0
20,2024-05-01T06:00:00Z,9.6,1027.2,69.2,16.6,11.1,0.0
21,2024-05-01T07:00:00Z,11.1,1027.0,61.2,17.3,12.5,0.0
22,2024-05-01T08:00:00Z,12.5,1026.8,56.0,17.4,14.0,0.0
23,2024-05-01T09:00:00Z,14.0,1026.6,50.2,17.4,15.0,0.0
24,2024-05-01T10:00:00Z,15.0,1026.3,48.4,17.4,15.7,0.0
25,2024-05-01T11:00:00Z,15.7,1026.1,47.0,17.4,16.6,0.0
26,2024-05-01T12:00:00Z,16.6,1025.4,46.1,17.4,15.8,0.0
27,2024-05-01T13:00:00Z,17.3,1024.9,47.1,17.4,13.9,0.0
28,2024-05-01T14:00:00Z,17.4,1024.5,49.1,17.4,12.2,0.0
29,2024-05-01T15:00:00Z,17.4,1024.0,50.8,17.4,11.3,0.0
30,2024-05-01T16:00:00Z,17.4,1023.7,52.7,16.9,10.5,0.0
31,2024-05-01T17:00:00Z,16.9,1023.6,55.8,15.8,10.0,0.0
32,2024-05-01T18:00:00Z,15.8,1023.8,62.8,13.9,9.9,0.0
33,2024-05-01T19:00:00Z,13.9,1023.9,72.2,12.2,9.2,0.0
34,2024-05-01T20:00:00Z,12.2,1024.1,73.9,11.3,8.9,0.0
35,2024-05-01T21:00:00Z,11.3,1024.3,73.5,10.5,8.2,0.0
36,2024-05-01T22:00:00Z,10.5,1024.7,73.6,10.0,7.6,0.0
37,2024-05-01T23:00:00Z,10.0,1025.0,72.1,9.9,7.6,0.0
38,2024-05-02T00:00:00Z,9.9,1025.1,70.2,10.3,7.6,0.0
39,2024-05-02T01:00:00Z,9.2,1025.0,71.1,12.1,7.6,0.0
40,2024-05-02T02:00:00Z,8.9,1024.7,68.0,13.9,7.6,0.0
41,2024-05-02T03:00:00Z,8.2,1024.4,70.0,15.4,7.6,0.0
42,2024-05-02T04:00:00Z,7.6,1024.0,72.1,16.7,8.5,0.0
43,2024-05-02T05:00:00Z,8.5,1023.8,70.5,17.6,10.3,0.0
44,2024-05-02T06:00:00Z,10.3,1023.7,65.7,18.5,12.1,0.0
45,2024-05-02T07:00:00Z,12.1,1023.5,61.2,19.2,13.9,0.0
46,2024-05-02T08:00:00Z,13.9,1023.5,57.3,19.4,15.4,0.0
47,2024-05-02T09:00:00Z,15.4,1023.2,53.7,19.4,16.7,0.0
48,2024-05-02T10:00:00Z,16.7,1022.8,49.3,19.4,17.6,0.0
49,2024-05-02T11:00:00Z,17.6,1022.3,45.0,19.4,18.5,0.0
50,2024-05-02T12:00:00Z,18.5,1021.8,40.9,19.4,16.9,0.0
51,2024-05-02T13:00:00Z,19.2,1021.3,38.3,,,
52,2024-05-02T14:00:00Z,19.4,1020.6,35.8,,,
53,2024-05-02T15:00:00Z,19.4,1020.1,36.0,,,
54,2024-05-02T16:00:00Z,19.4,1019.8,38.2,,,
55,2024-05-02T17:00:00Z,18.7,1019.6,42.6,,,
56,2024-05-02T18:00:00Z,16.9,1019.7,60.5,16.8,8.9,0.0
57,2024-05-03T00:00:00Z,8.9,1018.3,80.3,11.1,6.9,0.0
58,2024-05-03T06:00:00Z,11.1,1018.2,79.1,19.8,11.1,0.0
59,2024-05-03T12:00:00Z,19.8,1016.0,47.2,19.8,17.3,0.0
60,2024-05-03T18:00:00Z,17.3,1014.3,74.0,17.3,9.2,0.0
61,2024-05-04T00:00:00Z,9.6,1014.7,78.5,12.0,7.6,0.0
62,2024-05-04T06:00:00Z,12.0,1014.9,77.2,20.4,12.0,0.0
63,2024-05-04T12:00:00Z,20.4,1014.5,48.5,20.4,17.1,0.0
64,2024-05-04T18:00:00Z,17.1,1013.4,68.1,17.1,9.8,0.0
65,2024-05-05T00:00:00Z,9.8,1014.8,79.5,10.8,7.8,0.0
66,2024-05-05T06:00:00Z,10.8,1016.3,77.0,17.4,10.8,0.0
67,2024-05-05T12:00:00Z,17.4,1017.2,52.1,17.4,13.4,0.0
68,2024-05-05T18:00:00Z,13.4,1016.4,81.6,13.4,8.9,0.0
69,2024-05-06T00:00:00Z,8.9,1014.6,84.6,10.4,7.9,0.0
70,2024-05-06T06:00:00Z,10.4,1016.6,90.3,14.3,10.4,0.0
71,2024-05-06T12:00:00Z,14.3,1017.1,72.9,14.3,12.6,0.0
72,2024-05-06T18:00:00Z,12.8,1017.1,78.6,12.8,8.5,0.0
73,2024-05-07T00:00:00Z,8.6,1018.1,83.4,10.3,6.6,0.0
74,2024-05-07T06:00:00Z,10.3,1020.9,74.6,15.8,10.3,0.0
75,2024-05-07T12:00:00Z,15.8,1019.7,64.3,15.8,13.2,0.0
76,2024-05-07T18:00:00Z,13.2,1019.3,70.2,13.2,8.4,0.0
77,2024-05-08T00:00:00Z,8.5,1021.9,83.3,10.2,7.7,0.0
