,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-04-29T14:00:00Z,12.0,1018.9,75.5,11.9,7.1,0.0
1,2024-04-29T15:00:00Z,11.9,1019.4,73.5,11.8,6.5,0.0
2,2024-04-29T16:00:00Z,11.8,1020.0,72.5,11.3,5.7,0.0
3,2024-04-29T17:00:00Z,11.3,1020.5,69.1,10.4,4.6,0.0
4,2024-04-29T18:00:00Z,10.4,1021.1,75.3,8.5,3.8,0.0
5,2024-04-29T19:00:00Z,8.5,1022.2,89.6,7.1,3.4,0.0
6,2024-04-29T20:00:00Z,7.1,1023.2,96.4,6.5,3.4,0.0
7,2024-04-29T21:00:00Z,6.5,1023.9,98.6,5.7,3.4,0.0
8,2024-04-29T22:00:00Z,5.7,1024.6,99.2,4.6,3.4,0.0
9,2024-04-29T23:00:00Z,4.6,1024.8,99.3,5.4,3.4,0.0
10,2024-04-30T00:00:00Z,3.8,1025.1,99.4,6.8,3.4,0.0
11,2024-04-30T01:00:00Z,3.4,1025.3,99.7,8.2,3.6,0.0
12,2024-04-30T02:00:00Z,3.6,1025.7,99.6,10.1,4.0,0.0
13,2024-04-30T03:00:00Z,4.0,1026.2,99.6,11.8,4.4,0.0
14,2024-04-30T04:00:00Z,4.4,1026.7,99.7,13.5,5.4,0.0
15,2024-04-30T05:00:00Z,5.4,1027.2,99.7,14.4,6.8,0.0
16,2024-04-30T06:00:00Z,6.8,1027.5,99.5,14.9,8.2,0.0
17,2024-04-30T07:00:00Z,8.2,1028.0,98.3,15.1,10.1,0.0
18,2024-04-30T08:00:00Z,10.1,1028.0,93.7,15.7,11.8,0.0
19,2024-04-30T09:00:00Z,11.8,1028.0,87.3,15.7,13.5,0.0
20,2024-04-30T10:00:00Z,13.5,1027.8,81.3,15.7,14.4,0.0
21,2024-04-30T11:00:00Z,14.4,1027.7,79.4,15.7,14.5,0.0
22,2024-04-30T12:00:00Z,14.9,1027.7,71.2,15.7,13.3,0.0
23,2024-04-30T13:00:00Z,15.1,1027.6,69.0,15.7,12.2,0.0
24,2024-04-30T14:00:00Z,15.7,1027.4,65.3,15.5,11.4,0.0
25,2024-04-30T15:00:00Z,15.5,1027.0,64.2,15.1,10.9,0.0
26,2024-04-30T16:00:00Z,15.1,1026.6,74.9,14.5,10.7,0.0
27,2024-04-30T17:00:00Z,14.5,1026.5,83.7,13.3,10.4,0.0
28,2024-04-30T18:00:00Z,13.3,1026.5,88.7,12.2,9.9,0.0
29,2024-04-30T19:00:00Z,12.2,1026.3,94.4,11.4,9.3,0.0
30,2024-04-30T20:00:00Z,11.4,1026.5,92.8,10.9,9.0,0.0
31,2024-04-30T21:00:00Z,10.9,1026.9,78.6,10.7,8.6,0.0
32,2024-04-30T22:00:00Z,10.7,1027.2,75.4,10.4,8.1,0.0
33,2024-04-30T23:00:00Z,10.4,1027.1,72.8,9.9,8.1,0.0
34,2024-05-01T00:00:00Z,9.9,1026.7,72.2,9.3,8.1,0.0
35,2024-05-01T01:00:00Z,9.3,1026.7,69.3,10.0,8.1,0.0
36,2024-05-01T02:00:00Z,9.0,1026.6,70.8,10.7,8.1,0.0
37,2024-05-01T03:00:00Z,8.6,1026.4,70.1,12.0,8.1,0.0
38,2024-05-01T04:00:00Z,8.1,1026.2,72.0,13.3,8.4,0.0
39,2024-05-01T05:00:00Z,8.4,1026.4,73.7,15.1,9.3,0.0
40,2024-05-01T06:00:00Z,9.3,1026.3,68.7,15.7,10.0,0.0
41,2024-05-01T07:00:00Z,10.0,1026.4,66.8,15.8,10.7,0.0
42,2024-05-01T08:00:00Z,10.7,1026.1,65.2,16.1,12.0,0.0
43,2024-05-01T09:00:00Z,12.0,1025.8,64.3,16.4,13.3,0.0
44,2024-05-01T10:00:00Z,13.3,1025.7,61.5,16.4,15.1,0.0
45,2024-05-01T11:00:00Z,15.1,1025.2,52.8,16.4,15.7,0.0
46,2024-05-01T12:00:00Z,15.7,1024.9,55.7,16.4,14.8,0.0
47,2024-05-01T13:00:00Z,15.8,1024.6,60.7,,,
48,2024-05-01T14:00:00Z,16.1,1024.2,62.6,,,
49,2024-05-01T15:00:00Z,16.4,1023.8,65.0,,,
50,2024-05-01T16:00:00Z,16.4,1023.4,67.8,,,
51,2024-05-01T17:00:00Z,16.1,1023.2,68.5,,,
52,2024-05-01T18:00:00Z,14.8,1023.1,77.3,16.0,9.8,0.0
53,2024-05-02T00:00:00Z,9.8,1023.7,73.3,10.9,8.2,0.0
54,2024-05-02T06:00:00Z,10.9,1022.8,72.3,19.8,10.9,0.0
55,2024-05-02T12:00:00Z,19.8,1020.1,47.2,19.8,17.4,0.0
56,2024-05-02T18:00:00Z,17.4,1018.1,67.3,17.4,9.2,0.0
57,2024-05-03T00:00:00Z,9.2,1019.0,80.2,11.5,7.2,0.0
58,2024-05-03T06:00:00Z,11.5,1019.2,77.8,19.7,11.5,0.0
59,2024-05-03T12:00:00Z,19.7,1018.0,46.5,19.7,17.2,0.0
60,2024-05-03T18:00:00Z,17.2,1015.7,71.5,17.2,9.7,0.0
61,2024-05-04T00:00:00Z,10.3,1016.4,74.8,11.9,8.3,0.0
62,2024-05-04T06:00:00Z,11.9,1016.9,75.1,19.5,11.9,0.0
63,2024-05-04T12:00:00Z,19.5,1016.4,47.2,19.5,16.2,0.0
64,2024-05-04T18:00:00Z,16.2,1015.2,60.8,16.2,9.0,0.0
65,2024-05-05T00:00:00Z,9.0,1018.7,74.5,11.0,7.0,0.0
66,2024-05-05T06:00:00Z,11.0,1020.7,74.4,16.9,11.0,0.0
67,2024-05-05T12:00:00Z,16.9,1019.7,50.2,16.9,13.6,0.0
68,2024-05-05T18:00:00Z,13.6,1018.7,66.9,13.6,7.8,0.0
69,2024-05-06T00:00:00Z,7.8,1020.1,80.2,9.8,5.8,0.0
70,2024-05-06T06:00:00Z,9.8,1021.5,78.5,15.7,9.8,0.0
71,2024-05-06T12:00:00Z,15.7,1021.8,60.4,15.7,12.2,0.0
72,2024-05-06T18:00:00Z,12.3,1019.0,63.5,12.3,7.2,0.0
73,2024-05-07T00:00:00Z,7.6,1021.7,79.9,9.9,5.6,0.0
74,2024-05-07T06:00:00Z,9.9,1023.2,74.9,15.0,9.9,0.0
75,2024-05-07T12:00:00Z,15.0,1022.1,48.7,15.0,12.3,0.0
76,2024-05-07T18:00:00Z,12.4,1022.2,63.5,12.4,6.8,0.0
77,2024-05-08T00:00:00Z,6.8,1023.5,82.2,10.3,6.8,0.0
78,2024-05-08T06:00:00Z,10.3,1023.1,84.7,13.9,10.3,0.0
79,2024-05-08T12:00:00Z,13.9,1021.0,47.2,13.9,13.3,0.0
80,2024-05-08T18:00:00Z,13.3,1023.1,73.9,13.3,8.7,0.0
81,2024-05-09T00:00:00Z,8.7,1021.0,85.6,10.4,7.0,0.0
82,2024-05-09T06:00:00Z,10.4,1023.1,73.2,16.4,10.4,0.0
83,2024-05-09T12:00:00Z,16.4,1022.6,63.1,,,
