mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
-1.5303,-1.736,-1.0167,-0.5511,-0.3524,0.5428,-1.6619,-1.6161,-0.3428,-1.0044,-0.5419,42,Apelsvoll
-1.3448,-1.7985,-0.6433,-0.8291,-0.3524,0.7392,-1.6619,-1.6326,-0.1508,-1.0044,-0.4286,43,Apelsvoll
-1.2366,-1.8141,-0.5742,-1.246,-0.3524,0.6606,-1.6619,-1.6326,-0.1508,-1.0044,-0.3153,44,Apelsvoll
-0.7884,-0.9869,-0.187,-1.3608,-0.3524,0.5559,-1.6619,-1.6326,0.1052,-1.0044,-0.2019,45,Apelsvoll
-0.4947,-0.7684,0.0066,-0.8049,-0.3524,0.4511,-1.6619,-1.6326,-0.0868,-1.0044,-0.0886,46,Apelsvoll
-0.8348,-0.6123,-0.8369,0.0471,-0.3524,-0.4391,-1.6781,-1.6326,-0.6629,-1.0044,0.0247,47,Apelsvoll
-0.7575,-0.4407,-0.5465,0.8689,-0.3524,0.1238,-1.6781,-1.6326,-0.4068,-1.0044,0.138,48,Apelsvoll
-0.4174,-0.5031,-0.2423,0.3552,-0.2221,0.857,-1.6781,-1.6326,0.1052,-1.0044,0.2514,49,Apelsvoll
-0.3556,-0.2846,-0.0211,-0.0677,-0.3524,0.3333,-1.6781,-1.6491,-0.1508,-1.0044,0.3647,50,Apelsvoll
-0.6647,-0.5343,-0.505,0.7722,-0.3524,-0.1773,-1.6781,-1.6491,-0.5348,-1.0044,0.478,51,Apelsvoll
-0.2319,-0.3314,-0.1732,-1.2762,-0.3524,0.9748,-1.6619,-1.6326,0.5533,-1.0044,0.5914,52,Apelsvoll
-0.6338,-0.9089,-0.27,-0.7022,-0.3524,0.7261,-1.3225,-1.484,0.1052,-1.0044,0.7047,53,Apelsvoll
-0.8811,-0.4407,-1.1135,0.8991,-0.0918,-1.1199,-1.0639,-1.1868,-1.0469,-1.0044,0.818,54,Apelsvoll
-0.5874,-0.3782,-0.7263,-0.2067,-0.3524,0.3464,-1.0316,-1.1538,-0.0228,-1.0044,0.9313,55,Apelsvoll
-0.6184,-0.5655,-0.5465,-0.6901,-0.3431,-0.0857,-0.9346,-1.0547,-0.2788,-1.0044,1.0447,56,Apelsvoll
-0.6338,-0.8152,-0.3529,-0.527,-0.3524,0.569,-0.7892,-0.9391,-0.0228,-1.0044,1.158,57,Apelsvoll
-0.8193,-0.5187,-0.7125,0.464,-0.3524,0.0584,-0.6922,-0.8235,-0.4068,-1.0044,1.2713,58,Apelsvoll
-1.0975,-0.8308,-1.0305,0.9897,-0.3524,-0.4784,-0.7568,-0.8235,-0.7909,-1.0044,1.3847,59,Apelsvoll
-0.8193,-1.0337,-0.6433,0.2223,-0.3431,0.5297,-0.7245,-0.8235,-0.0868,-1.0044,1.498,60,Apelsvoll
-0.6493,-0.5655,-0.588,0.2283,-0.2128,0.2809,-0.5791,-0.7079,-0.2148,-1.0044,1.6113,61,Apelsvoll
-1.1439,-0.7684,-1.3209,1.2072,0.4201,-1.4996,-0.7084,-0.7079,-1.2389,-0.5018,-1.6752,62,Apelsvoll
-0.6647,-0.3939,-0.4083,0.6997,-0.3524,-0.4784,-0.7568,-0.807,-0.5988,-0.5018,-1.5619,63,Apelsvoll
-0.7266,-0.4563,-0.671,0.5305,-0.2221,-1.1461,-0.773,-0.774,-0.9829,-0.5018,-1.4485,64,Apelsvoll
-0.4483,-0.706,-0.1732,-0.1765,-0.3524,0.7653,-0.7084,-0.7905,0.2973,-0.5018,-1.3352,65,Apelsvoll
0.34,-0.0037,0.8225,-0.2067,-0.3431,0.9748,-0.3366,-0.5593,0.6813,-0.5018,-1.2219,66,Apelsvoll
0.68,0.6206,0.6704,-0.5391,-0.3524,0.8439,-0.0942,-0.3116,0.7453,-0.5018,-1.1086,67,Apelsvoll
0.5564,0.0431,0.7395,-0.5149,-0.3524,0.9355,0.0189,-0.1795,0.6813,-0.5018,-0.9952,68,Apelsvoll
0.6646,0.3397,0.9884,-0.7445,-0.3524,1.1319,0.1482,-0.0474,1.0013,-0.5018,-0.8819,69,Apelsvoll
0.8655,0.1992,1.1129,-1.1131,-0.3524,1.3545,0.1321,0.0021,1.3854,-0.5018,-0.7686,70,Apelsvoll
0.9583,0.6674,1.1682,-1.0285,-0.3524,1.0534,0.1967,0.0516,1.1294,-0.5018,-0.6553,71,Apelsvoll
0.0463,0.3865,0.0204,1.31,0.783,-1.3687,0.1482,0.0847,-1.1109,-0.5018,-0.5419,72,Apelsvoll
