,date,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall
0,2024-04-30 21:00:00+00:00,12.7825,69.0,0.0,0.0,0.0
1,2024-04-30 22:00:00+00:00,10.5825,69.0,0.0,0.0,0.0
2,2024-04-30 23:00:00+00:00,11.1825,69.0,0.0,0.0,0.0
3,2024-05-01 00:00:00+00:00,10.8325,71.0,0.0,0.0,0.0
4,2024-05-01 01:00:00+00:00,10.6825,72.0,0.0,0.0,0.0
5,2024-05-01 02:00:00+00:00,9.9825,73.0,0.0,0.0,0.0
6,2024-05-01 03:00:00+00:00,8.132501,73.0,0.0,0.0,0.0
7,2024-05-01 04:00:00+00:00,8.5825,80.0,0.0,0.0,0.0
8,2024-05-01 05:00:00+00:00,9.8325,74.0,0.0,0.0,0.0
9,2024-05-01 06:00:00+00:00,10.2825,63.0,0.0,0.0,0.0
10,2024-05-01 07:00:00+00:00,12.5825,55.0,0.0,0.0,0.0
11,2024-05-01 08:00:00+00:00,13.9825,53.0,0.0,0.0,0.0
12,2024-05-01 09:00:00+00:00,15.3325,52.0,0.0,0.0,0.0
13,2024-05-01 10:00:00+00:00,16.832499,50.0,0.0,0.0,0.0
14,2024-05-01 11:00:00+00:00,17.932499,48.0,0.0,0.0,0.0
15,2024-05-01 12:00:00+00:00,19.2825,45.0,0.0,0.0,0.0
16,2024-05-01 13:00:00+00:00,19.832499,45.0,0.0,0.0,0.0
17,2024-05-01 14:00:00+00:00,20.082499,44.0,0.0,0.0,0.0
18,2024-05-01 15:00:00+00:00,19.2825,45.0,0.0,0.0,0.0
19,2024-05-01 16:00:00+00:00,18.7325,51.0,0.0,0.0,0.0
20,2024-05-01 17:00:00+00:00,18.2325,53.0,0.0,0.0,0.0
21,2024-05-01 18:00:00+00:00,18.6325,61.0,0.0,0.0,0.0
22,2024-05-01 19:00:00+00:00,16.5325,64.0,0.0,0.0,0.0
23,2024-05-01 20:00:00+00:00,16.2325,65.0,0.0,0.0,0.0
24,2024-05-01 21:00:00+00:00,15.4325,68.0,0.0,0.0,0.0
25,2024-05-01 22:00:00+00:00,14.6825,69.0,0.0,0.0,0.0
26,2024-05-01 23:00:00+00:00,13.632501,74.0,0.0,0.0,0.0
27,2024-05-02 00:00:00+00:00,12.7825,81.0,0.0,0.0,0.0
28,2024-05-02 01:00:00+00:00,12.132501,81.0,0.0,0.0,0.0
29,2024-05-02 02:00:00+00:00,11.0825,80.0,0.0,0.0,0.0
30,2024-05-02 03:00:00+00:00,10.1825,78.0,0.0,0.0,0.0
31,2024-05-02 04:00:00+00:00,9.7825,74.0,0.0,0.0,0.0
32,2024-05-02 05:00:00+00:00,10.2825,68.0,0.0,0.0,0.0
33,2024-05-02 06:00:00+00:00,11.4825,61.0,0.0,0.0,0.0
34,2024-05-02 07:00:00+00:00,12.9825,58.0,0.0,0.0,0.0
35,2024-05-02 08:00:00+00:00,14.5825,57.0,0.0,0.0,0.0
36,2024-05-02 09:00:00+00:00,16.3825,55.0,0.0,0.0,0.0
37,2024-05-02 10:00:00+00:00,17.932499,49.0,0.0,0.0,0.0
38,2024-05-02 11:00:00+00:00,19.1325,42.0,0.0,0.0,0.0
39,2024-05-02 12:00:00+00:00,20.082499,38.0,0.0,0.0,0.0
40,2024-05-02 13:00:00+00:00,20.582499,35.0,0.0,0.0,0.0
41,2024-05-02 14:00:00+00:00,20.832499,36.0,0.0,0.0,0.0
42,2024-05-02 15:00:00+00:00,20.7325,35.0,0.0,0.0,0.0
43,2024-05-02 16:00:00+00:00,20.3825,36.0,0.0,0.0,0.0
44,2024-05-02 17:00:00+00:00,19.6325,39.0,0.0,0.0,0.0
45,2024-05-02 18:00:00+00:00,18.582499,46.0,0.0,0.0,0.0
46,2024-05-02 19:00:00+00:00,16.7325,55.0,0.0,0.0,0.0
47,2024-05-02 20:00:00+00:00,15.0325,60.0,0.0,0.0,0.0
