,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-05-02T16:00:00Z,20.9,1018.2,33.2,20.1,12.8,0.0
1,2024-05-02T17:00:00Z,20.1,1018.1,36.1,18.7,11.8,0.0
2,2024-05-02T18:00:00Z,18.7,1018.2,43.4,16.3,10.6,0.0
3,2024-05-02T19:00:00Z,16.3,1018.6,54.6,14.6,9.3,0.0
4,2024-05-02T20:00:00Z,14.6,1018.8,57.5,13.6,8.7,0.0
5,2024-05-02T21:00:00Z,13.6,1019.1,61.8,12.8,7.9,0.0
6,2024-05-02T22:00:00Z,12.8,1019.7,64.7,11.8,7.7,0.0
7,2024-05-02T23:00:00Z,11.8,1019.9,67.5,10.6,7.7,0.0
8,2024-05-03T00:00:00Z,10.6,1020.0,72.0,10.7,7.7,0.0
9,2024-05-03T01:00:00Z,9.3,1020.1,75.8,12.4,7.7,0.0
10,2024-05-03T02:00:00Z,8.7,1020.0,75.9,13.9,7.7,0.0
11,2024-05-03T03:00:00Z,7.9,1019.7,75.1,15.3,7.7,0.0
12,2024-05-03T04:00:00Z,7.7,1019.8,77.0,16.6,9.0,0.0
13,2024-05-03T05:00:00Z,9.0,1019.9,69.7,17.7,10.7,0.0
14,2024-05-03T06:00:00Z,10.7,1019.7,62.5,18.6,12.4,0.0
15,2024-05-03T07:00:00Z,12.4,1019.5,57.1,19.4,13.9,0.0
16,2024-05-03T08:00:00Z,13.9,1019.7,52.5,19.8,15.3,0.0
17,2024-05-03T09:00:00Z,15.3,1019.8,48.8,20.0,16.6,0.0
18,2024-05-03T10:00:00Z,16.6,1019.5,44.6,20.0,17.7,0.0
19,2024-05-03T11:00:00Z,17.7,1018.9,41.9,20.0,18.6,0.0
20,2024-05-03T12:00:00Z,18.6,1018.4,39.3,20.0,17.8,0.0
21,2024-05-03T13:00:00Z,19.4,1017.8,37.6,20.0,15.7,0.0
22,2024-05-03T14:00:00Z,19.8,1017.3,36.1,20.0,13.7,0.0
23,2024-05-03T15:00:00Z,20.0,1017.0,35.4,19.7,12.2,0.0
24,2024-05-03T16:00:00Z,19.7,1016.8,37.1,19.0,11.2,0.0
25,2024-05-03T17:00:00Z,19.0,1016.5,39.4,17.8,10.3,0.0
26,2024-05-03T18:00:00Z,17.8,1016.4,50.9,15.7,9.4,0.0
27,2024-05-03T19:00:00Z,15.7,1016.6,60.3,13.7,8.8,0.0
28,2024-05-03T20:00:00Z,13.7,1016.9,62.4,12.2,8.4,0.0
29,2024-05-03T21:00:00Z,12.2,1017.0,68.8,11.2,7.7,0.0
30,2024-05-03T22:00:00Z,11.2,1017.1,72.8,10.3,7.7,0.0
31,2024-05-03T23:00:00Z,10.3,1017.1,77.2,9.7,7.7,0.0
32,2024-05-04T00:00:00Z,9.4,1017.0,80.0,12.0,7.7,0.0
33,2024-05-04T01:00:00Z,8.8,1016.9,82.6,13.9,7.7,0.0
34,2024-05-04T02:00:00Z,8.4,1016.8,83.6,15.6,7.7,0.0
35,2024-05-04T03:00:00Z,7.7,1016.6,85.1,17.0,7.9,0.0
36,2024-05-04T04:00:00Z,7.9,1016.2,83.8,18.2,9.7,0.0
37,2024-05-04T05:00:00Z,9.7,1016.1,76.9,18.9,12.0,0.0
38,2024-05-04T06:00:00Z,12.0,1016.1,66.1,19.8,13.9,0.0
39,2024-05-04T07:00:00Z,13.9,1015.7,61.9,20.5,15.6,0.0
40,2024-05-04T08:00:00Z,15.6,1015.7,58.6,20.5,17.0,0.0
41,2024-05-04T09:00:00Z,17.0,1015.4,56.6,20.5,18.2,0.0
42,2024-05-04T10:00:00Z,18.2,1015.1,54.6,20.5,18.7,0.0
43,2024-05-04T11:00:00Z,18.9,1014.8,52.7,20.5,18.1,0.0
44,2024-05-04T12:00:00Z,19.8,1014.3,50.4,20.5,16.9,0.0
45,2024-05-04T13:00:00Z,20.5,1013.8,49.5,20.4,15.5,0.0
46,2024-05-04T14:00:00Z,20.4,1013.5,51.6,19.4,14.3,0.0
47,2024-05-04T15:00:00Z,19.4,1013.3,66.3,18.7,13.5,0.0
48,2024-05-04T16:00:00Z,18.7,1012.7,70.3,18.1,12.7,0.0
49,2024-05-04T17:00:00Z,18.1,1012.8,60.6,16.9,12.2,0.0
50,2024-05-04T18:00:00Z,16.9,1013.0,69.5,15.5,11.4,0.0
51,2024-05-04T19:00:00Z,15.5,1013.0,92.7,,,
52,2024-05-04T20:00:00Z,14.3,1012.8,96.7,,,
53,2024-05-04T21:00:00Z,13.5,1012.6,97.2,,,
54,2024-05-04T22:00:00Z,12.7,1012.7,98.1,,,
55,2024-05-04T23:00:00Z,12.2,1012.5,99.0,,,
56,2024-05-05T00:00:00Z,11.4,1012.0,99.6,9.8,8.1,0.0
57,2024-05-05T06:00:00Z,9.8,1012.0,93.5,15.4,9.8,0.0
58,2024-05-05T12:00:00Z,15.4,1011.6,70.0,15.4,13.4,0.0
59,2024-05-05T18:00:00Z,13.4,1011.6,81.2,13.4,9.6,0.0
60,2024-05-06T00:00:00Z,9.7,1013.5,90.1,9.7,8.2,0.0
61,2024-05-06T06:00:00Z,9.4,1014.7,77.9,13.4,9.4,0.0
62,2024-05-06T12:00:00Z,13.4,1016.0,63.4,13.4,12.7,0.0
63,2024-05-06T18:00:00Z,12.9,1016.1,70.6,12.9,8.5,0.0
64,2024-05-07T00:00:00Z,8.5,1017.8,70.4,8.8,6.8,0.0
65,2024-05-07T06:00:00Z,8.8,1019.8,75.6,14.2,8.8,0.0
66,2024-05-07T12:00:00Z,14.2,1019.6,64.5,14.2,12.4,0.0
67,2024-05-07T18:00:00Z,12.4,1018.2,71.3,12.4,8.2,0.0
68,2024-05-08T00:00:00Z,8.3,1019.1,75.3,9.3,6.4,0.0
69,2024-05-08T06:00:00Z,9.3,1023.5,80.8,12.6,9.3,0.0
70,2024-05-08T12:00:00Z,12.6,1022.1,49.2,12.6,11.3,0.0
71,2024-05-08T18:00:00Z,11.5,1024.9,74.4,11.5,6.9,0.0
72,2024-05-09T00:00:00Z,7.0,1023.4,80.1,8.1,5.8,0.0
73,2024-05-09T06:00:00Z,8.1,1024.9,82.4,12.4,8.1,0.0
74,2024-05-09T12:00:00Z,12.4,1022.8,58.4,12.4,11.8,0.0
75,2024-05-09T18:00:00Z,12.2,1023.2,68.5,12.2,6.5,0.0
76,2024-05-10T00:00:00Z,7.0,1025.6,73.6,8.1,5.0,0.0
77,2024-05-10T06:00:00Z,8.1,1027.2,69.6,13.4,8.1,0.0
78,2024-05-10T12:00:00Z,13.4,1026.2,50.3,13.4,12.0,0.0
79,2024-05-10T18:00:00Z,12.0,1023.0,61.5,12.0,7.4,0.0
80,2024-05-11T00:00:00Z,7.8,1023.2,74.5,10.1,6.5,0.0
81,2024-05-11T06:00:00Z,10.1,1022.8,67.7,15.4,10.1,0.0
82,2024-05-11T12:00:00Z,15.4,1022.7,52.1,15.4,13.4,0.0
83,2024-05-11T18:00:00Z,13.4,1020.3,62.6,13.4,7.8,0.0
84,2024-05-12T00:00:00Z,8.3,1020.7,76.1,10.4,6.8,0.0
85,2024-05-12T06:00:00Z,10.4,1023.1,72.3,16.4,10.4,0.0
86,2024-05-12T12:00:00Z,16.4,1023.4,50.8,,,
